Collector's No,Collector(s),Tissue ID,DNA Sample ID,Order,Family,Genus
8849,"Hand,R.",B GT 0021181,DB 13898,Acorales,Acoraceae,Acorus calamus
RH 8869,"Hand,R., Dotzer-Schmidt,M. & Seitz,H.",B GT 0021201,DB 13911,Acorales,Acoraceae,Acorus calamus
FJW-2017-0040,F.-J. Weicherding,B GT 0021657,DB 30779,Acorales,Acoraceae,Acorus calamus
8008,"Hand,R.",B GT 0017892,DB 13066,Alismatales,Alismataceae,Alisma gramineum
RH 7816,"Hand,R., Berghofer,M. & Niederbichler,C.",B GT 0014833,DB 12897,Alismatales,Alismataceae,Alisma plantago-aquatica
36711,"Buttler,K.P.",B GT 0018481,DB 14200,Alismatales,Alismataceae,Alisma plantago-aquatica
FJW-2017-0034,F.-J. Weicherding,B GT 0021662,DB 15203,Alismatales,Alismataceae,Alisma plantago-aquatica
DS-2018-004,D. Schabelreiter,B GT 0024407,DB 15532,Alismatales,Alismataceae,Baldellia ranunculoides
,C. Ritz,B GT 0024257,DB 15658,Alismatales,Araceae,Arum cylindraceum
PC 133,"Ciongwa,P.",B GT 0017430,DB 13150,Alismatales,Araceae,Arum maculatum
AMB-GBOL2-59,"Barniske,A.-M.",B GT 0017678,DB 13344,Alismatales,Araceae,Arum maculatum
36422,"Buttler,K.P.",B GT 0018622,DB 14087,Alismatales,Araceae,Arum maculatum
2684,O. Appel,B GT 0024142,DB 15840,Alismatales,Araceae,Arum maculatum
8761,R. Hand 8761 & M. Berghofer,B GT 0021093,DB 15480,Alismatales,Araceae,Lemna minuta
RH 8876,"Hand,R., Dotzer-Schmidt,M. & Seitz,H.",B GT 0021208,DB 13914,Alismatales,Araceae,Lemna trisulca
NHG-20170903-91,"Höcker,R.",B GT 0021544,DB 14505,Alismatales,Araceae,Lemna trisulca
8536,"Hand,R.",B GT 0018860,DB 13719,Alismatales,Araceae,Spirodela polyrhiza
RH 8742,"Hand,R. & Berghofer,M.",B GT 0021074,DB 13836,Alismatales,Araceae,Spirodela polyrhiza
8845,"Hand,R.",B GT 0021177,DB 13896,Alismatales,Araceae,Spirodela polyrhiza
8579,"Hand,R.",B GT 0018903,DB 13746,Alismatales,Butomaceae,Butomus umbellatus
35871,"Buttler,K.P.",B GT 0018127,DB 14018,Alismatales,Hydrocharitaceae,Elodea canadensis
8744,"R. Hand 8744, M. Berghofer & C. Niederbichler",B GT 0021076,DB 29367,Alismatales,Hydrocharitaceae,Elodea canadensis
8799,R. Hand,B GT 0021131,DB 15481,Alismatales,Hydrocharitaceae,Elodea cf. nuttallii
8007,"Hand,R.",B GT 0017891,DB 13065,Alismatales,Hydrocharitaceae,Elodea nuttallii
8573,R. Hand,B GT 0018897,DB 29334,Alismatales,Hydrocharitaceae,Elodea nuttallii
8743,"R. Hand 8743, M. Berghofer & C. Niederbichler",B GT 0021075,DB 29366,Alismatales,Hydrocharitaceae,Elodea nuttallii
NHG-20170903-87,R. Höcker,B GT 0021540,DB 29497,Alismatales,Hydrocharitaceae,Elodea nuttallii
FJW-2017-0051,F.-J. Weicherding,B GT 0021698,DB 30788,Alismatales,Hydrocharitaceae,Elodea nuttallii
NHG-20170827-81,"Höcker,R.",B GT 0021534,DB 14501,Alismatales,Hydrocharitaceae,Hydrocharis morsus-ranae
,A. König,B GT 0024446,DB 15617,Alismatales,Hydrocharitaceae,Lagarosiphon major
8518,"Hand,R.",B GT 0018842,DB 13707,Alismatales,Hydrocharitaceae,Najas marina
RH 8745,"Hand,R., Berghofer,M. & Niederbichler,C.",B GT 0021077,DB 13837,Alismatales,Hydrocharitaceae,Najas marina
RH 8758,"Hand,R. & Berghofer,M.",B GT 0021090,DB 13842,Alismatales,Hydrocharitaceae,Najas marina
8898,R. Hand,B GT 0021230,DB 15495,Alismatales,Hydrocharitaceae,Najas marina
CN_20170922_2,C. Niederbichler,B GT 0021885,DB 30959,Alismatales,Hydrocharitaceae,Najas marina
CN_20170922_1,C. Niederbichler,B GT 0021886,DB 30958,Alismatales,Hydrocharitaceae,Najas marina
9189,R. Hand,B GT 0024243,DB 15823,Alismatales,Hydrocharitaceae,Najas marina
9175,R. Hand,B GT 0024772,DB 15144,Alismatales,Hydrocharitaceae,Najas minor
NHG-20170827-82,"Höcker,R.",B GT 0021535,DB 14502,Alismatales,Hydrocharitaceae,Stratiotes aloides
13982,P. Hein,B GT 0024678,DB 15085,Alismatales,Hydrocharitaceae,Vallisneria spiralis
RH 8075,"Hand,R. & GEFD-Exkursion",B GT 0017913,DB 13123,Alismatales,Juncaginaceae,Triglochin palustris
8551,"Hand,R.",B GT 0018875,DB 13731,Alismatales,Juncaginaceae,Triglochin palustris
NHG-20170903-88,R. Höcker,B GT 0021541,DB 29498,Alismatales,Potamogetonaceae,Potamogeton acutifolius
,H. Seitz,B GT 0024509,DB 15160,Alismatales,Potamogetonaceae,Potamogeton acutifolius
7725,R. Hand 7725 & C. Niederbichler,B GT 0014956,DB 15448,Alismatales,Potamogetonaceae,Potamogeton alpinus
8843,R. Hand,B GT 0021175,DB 15486,Alismatales,Potamogetonaceae,Potamogeton alpinus
NHG-20170903-89,R. Höcker,B GT 0021542,DB 15515,Alismatales,Potamogetonaceae,Potamogeton alpinus
GBOL-041,G. Himpel,B GT 0024435,DB 15590,Alismatales,Potamogetonaceae,Potamogeton angustifolius
8557,R. Hand,B GT 0018881,DB 15473,Alismatales,Potamogetonaceae,Potamogeton berchtoldii
8846,R. Hand,B GT 0021178,DB 15487,Alismatales,Potamogetonaceae,Potamogeton berchtoldii
,A. König,B GT 0024594,DB 15622,Alismatales,Potamogetonaceae,Potamogeton berchtoldii
8878,"R. Hand 8878, M. Dotzer-Schmidt & H. Seitz",B GT 0021210,DB 15493,Alismatales,Potamogetonaceae,Potamogeton cf. angustifolius
9170,R. Hand,B GT 0024766,DB 15404,Alismatales,Potamogetonaceae,Potamogeton cf. berchtoldii
8829,R. Hand,B GT 0021161,DB 15485,Alismatales,Potamogetonaceae,Potamogeton crispus
PC 297,"Ciongwa,P.",B GT 0021442,DB 14420,Alismatales,Potamogetonaceae,Potamogeton crispus
8571,"Hand,R.",B GT 0018895,DB 13742,Alismatales,Potamogetonaceae,Potamogeton crispus 
7997,R. Hand,B GT 0014659,DB 15453,Alismatales,Potamogetonaceae,Potamogeton gramineus
8874,"R. Hand 8874, M. Dotzer-Schmidt & H. Seitz",B GT 0021206,DB 15490,Alismatales,Potamogetonaceae,Potamogeton gramineus
DS-2018-009,D. Schabelreiter,B GT 0024402,DB 15536,Alismatales,Potamogetonaceae,Potamogeton gramineus
GBOL-042,G. Himpel,B GT 0024436,DB 15591,Alismatales,Potamogetonaceae,Potamogeton gramineus
RH 7785,"Hand,R., Berghofer,M. & Niederbichler,C.",B GT 0017002,DB 12867,Alismatales,Potamogetonaceae,Potamogeton lucens
NHG 20160901-03,"Höcker,R.",B GT 0017376,DB 13299,Alismatales,Potamogetonaceae,Potamogeton lucens
2593,"Appel,O.",B GT 0018022,DB 13500,Alismatales,Potamogetonaceae,Potamogeton lucens
FJW-2017-0038,F.-J. Weicherding,B GT 0021659,DB 30777,Alismatales,Potamogetonaceae,Potamogeton lucens
8842,R. Hand,B GT 0021174,DB 29399,Alismatales,Potamogetonaceae,Potamogeton natans
FJW-2017-0030,F.-J. Weicherding,B GT 0021672,DB 30772,Alismatales,Potamogetonaceae,Potamogeton natans
8514,"Hand,R.",B GT 0018838,DB 13704,Alismatales,Potamogetonaceae,Potamogeton nodosus
FJW-2017-0018,F.-J. Weicherding,B GT 0021693,DB 30760,Alismatales,Potamogetonaceae,Potamogeton nodosus
8871,"R. Hand 8871, M. Dotzer-Schmidt & H. Seitz",B GT 0021203,DB 29406,Alismatales,Potamogetonaceae,Potamogeton obtusifolius
8875,"R. Hand 8875, M. Dotzer-Schmidt & H. Seitz",B GT 0021207,DB 15491,Alismatales,Potamogetonaceae,Potamogeton obtusifolius
8572,R. Hand,B GT 0018896,DB 15474,Alismatales,Potamogetonaceae,Potamogeton pectinatus
8759,R. Hand 8759 & M. Berghofer,B GT 0021091,DB 29375,Alismatales,Potamogetonaceae,Potamogeton pectinatus
FJW-2017-0041,F.-J. Weicherding,B GT 0021681,DB 15204,Alismatales,Potamogetonaceae,Potamogeton pectinatus
FJW-2017-0017,F.-J. Weicherding,B GT 0021694,DB 30759,Alismatales,Potamogetonaceae,Potamogeton pectinatus
RH 8738,"Hand,R. & Berghofer,M.",B GT 0021070,DB 13835,Alismatales,Potamogetonaceae,Potamogeton perfoliatus
FJW-2017-0039,F.-J. Weicherding,B GT 0021658,DB 30778,Alismatales,Potamogetonaceae,Potamogeton perfoliatus
8574,"Hand,R.",B GT 0018898,DB 13743,Alismatales,Potamogetonaceae,Potamogeton perfoliatus 
FJW-2017-0031,F.-J. Weicherding,B GT 0021665,DB 15201,Alismatales,Potamogetonaceae,Potamogeton polygonifolius
7996,"Hand,R.",B GT 0014660,DB 13055,Alismatales,Potamogetonaceae,Potamogeton rutilus
8877,"R. Hand 8877, M. Dotzer-Schmidt & H. Seitz",B GT 0021209,DB 15492,Alismatales,Potamogetonaceae,Potamogeton trichoides
PC 81,P. Ciongwa,B GT 0017392,DB 14576,Alismatales,Potamogetonaceae,Zannichellia palustris
8757,R. Hand 8757 & M. Berghofer,B GT 0021089,DB 29374,Alismatales,Potamogetonaceae,Zannichellia palustris
8760,R. Hand 8760 & M. Berghofer,B GT 0021092,DB 29376,Alismatales,Potamogetonaceae,Zannichellia palustris
CN_20170731_4,C. Niederbichler,B GT 0021871,DB 30952,Alismatales,Scheuchzeriaceae,Scheuchzeria palustris
7843,R. Hand,B GT 0014806,DB 29239,Alismatales,Tofieldiaceae,Tofieldia calyculata
20180942,G. Schepers,B GT 0024543,DB 15365,Alismatales,Tofieldiaceae,Tofieldia calyculata
11488,N. Kilian,B GT 0024523,DB 15248,Alismatales,Zosteraceae,Zostera marina
11489,N. Kilian,B GT 0024524,DB 15249,Alismatales,Zosteraceae,Zostera noltei
KPB 36577,"Buttler,K.P. & Breunig,T.",B GT 0017743,DB 14146,Aquifoliales,Aquifoliaceae,Ilex aquifolium
FJW-2016-0007,"Weicherding,F.-J.",B GT 0017909,DB 13198,Aquifoliales,Aquifoliaceae,Ilex aquifolium
36485,"Buttler,K.P.",B GT 0018530,DB 14113,Aquifoliales,Aquifoliaceae,Ilex aquifolium
8836,"Hand,R.",B GT 0021168,DB 13890,Aquifoliales,Aquifoliaceae,Ilex aquifolium
RH 8591,"Hand,R. & Seitz,H.",B GT 0018915,DB 13754,Asparagales,Amaryllidaceae,Allium angulosum
,,B GT 0024658,DB 14976,Asparagales,Amaryllidaceae,Allium angulosum
MJ 18-1,M. Jäger,B GT 0024359,DB 15663,Asparagales,Amaryllidaceae,Allium cirrhosum
8629,"Hand,R.",B GT 0018953,DB 13773,Asparagales,Amaryllidaceae,Allium lusitanicum
36626,K. P. Buttler,B GT 0017778,DB 14701,Asparagales,Amaryllidaceae,Allium oleraceum
PC 293,P. Ciongwa,B GT 0021438,DB 29520,Asparagales,Amaryllidaceae,Allium oleraceum
36174,"Buttler,K.P.",B GT 0018412,DB 14039,Asparagales,Amaryllidaceae,Allium paradoxum
8441,R. Hand,B GT 0018765,DB 29306,Asparagales,Amaryllidaceae,Allium rotundum
,,B GT 0024657,DB 14975,Asparagales,Amaryllidaceae,Allium rotundum
20180238,G. Schepers,B GT 0024563,DB 15317,Asparagales,Amaryllidaceae,Allium sativum
2709,O. Appel,B GT 0024151,DB 35154,Asparagales,Amaryllidaceae,Allium schoenoprasum
8970,R. Hand,B GT 0024841,DB 14959,Asparagales,Amaryllidaceae,Allium schoenoprasum
36473,"Buttler,K.P.",B GT 0018526,DB 14106,Asparagales,Amaryllidaceae,Allium scorodoprasum
8357,R. Hand,B GT 0018680,DB 29285,Asparagales,Amaryllidaceae,Allium scorodoprasum
36641,K. P. Buttler,B GT 0024511,DB 15221,Asparagales,Amaryllidaceae,Allium scorodoprasum
8405,R. Hand,B GT 0018729,DB 29295,Asparagales,Amaryllidaceae,Allium sphaerocephalon
36239,"Buttler,K.P.",B GT 0018612,DB 14057,Asparagales,Amaryllidaceae,Allium strictum
20182402,G. Schepers,B GT 0024632,DB 15374,Asparagales,Amaryllidaceae,Allium tuberosum
2381,"Appel,O.",B GT 0017205,DB 13407,Asparagales,Amaryllidaceae,Allium ursinum
36471,"Buttler,K.P.",B GT 0018574,DB 14105,Asparagales,Amaryllidaceae,Allium ursinum
36409,"Buttler,K.P.",B GT 0018593,DB 14075,Asparagales,Amaryllidaceae,Allium ursinum
26MB,M. Berghofer,B GT 0024249,DB 15654,Asparagales,Amaryllidaceae,Allium victorialis
20180930,G. Schepers,B GT 0024713,DB 15355,Asparagales,Amaryllidaceae,Allium victorialis
36514,K. P. Buttler,B GT 0018527,DB 14894,Asparagales,Amaryllidaceae,Allium vineale
2017-60,R. Mause,B GT 0021767,DB 15185,Asparagales,Amaryllidaceae,Allium vineale
36886,"K. P. Buttler 36886, A. König & K.-U. Nierbauer",B GT 0024901,DB 14785,Asparagales,Amaryllidaceae,Allium vineale
PC 106,"Ciongwa,P.",B GT 0017396,DB 13136,Asparagales,Amaryllidaceae,Galanthus nivalis
AMB-GBOL2-27,"Barniske,A.-M.",B GT 0017669,DB 13312,Asparagales,Amaryllidaceae,Galanthus nivalis
2328,"Appel,O.",B GT 0018003,DB 13375,Asparagales,Amaryllidaceae,Galanthus nivalis
20170305-01,"Höcker,R.",G BT 0021488,DB 14252,Asparagales,Amaryllidaceae,Galanthus nivalis
PC 103,"Ciongwa,P.",B GT 0017391,DB 14542,Asparagales,Amaryllidaceae,Leucojum vernum
36171,"Buttler,K.P.",B GT 0018436,DB 14037,Asparagales,Amaryllidaceae,Leucojum vernum
20170305-03,"Höcker,R.",G BT 0021490,DB 14253,Asparagales,Amaryllidaceae,Leucojum vernum
AMB-GBOL2-132,A.-M. Barniske,B GT 0024693,DB 15277,Asparagales,Amaryllidaceae,Narcissus poeticus
2018-1,R. Mause,B GT 0024357,DB 15780,Asparagales,Amaryllidaceae,Narcissus pseudonarcissus
GBOL-007,G. Himpel,B GT 0024454,DB 15556,Asparagales,Amaryllidaceae,Narcissus pseudonarcissus
20180905,G. Schepers,B GT 0024717,DB 15334,Probe nicht gefunden,,
8304,"Hand,R.",B GT 0021302,DB 13586,Asparagales,Asparagaceae,Anthericum liliago
7984,"Hand,R.",B GT 0014675,DB 13043,Asparagales,Asparagaceae,Anthericum ramosum
,,B GT 0024654,DB 14979,Asparagales,Asparagaceae,Anthericum ramosum
8804,"Hand,R.",B GT 0021136,DB 13868,Asparagales,Asparagaceae,Asparagus officinalis
2702,O. Appel,B GT 0024147,DB 35149,Asparagales,Asparagaceae,Asparagus officinalis
AMB-GBOL2-63,"Barniske,A.-M.",B GT 0017674,DB 13348,Asparagales,Asparagaceae,Convallaria majalis
2018-2,R. Mause,B GT 0024300,DB 15781,Asparagales,Asparagaceae,Hyacinthoides non-scripta
MS-SH-13,"Schön,M.",B GT 0017278,DB 13284,Asparagales,Asparagaceae,Maianthemum bifolium
AMB-GBOL2-41,"Barniske,A.-M.",B GT 0017655,DB 13326,Asparagales,Asparagaceae,Maianthemum bifolium
35667,"Buttler,K.P.",B GT 0018162,DB 13954,Asparagales,Asparagaceae,Maianthemum bifolium
8129,R. Hand,B GT 0021249,DB 15461,Asparagales,Asparagaceae,Muscari armeniacum
36184,K. P. Buttler,B GT 0018408,DB 14909,Asparagales,Asparagaceae,Muscari aucheri
8141,"Hand,R.",B GT 0021261,DB 13566,Asparagales,Asparagaceae,Muscari botryoides
2624,O. Appel,B GT 0021974,DB 14559,Asparagales,Asparagaceae,Muscari botryoides
NM2018/1,N. Meyer,B GT 0024641,DB 15259,Asparagales,Asparagaceae,Muscari comosum
36177,"Buttler,K.P.",B GT 0018405,DB 14042,Asparagales,Asparagaceae,Muscari neglectum
20180203,G. Schepers,B GT 0024579,DB 15287,Asparagales,Asparagaceae,Muscari neglectum
20180204,G. Schepers,B GT 0024581,DB 15288,Asparagales,Asparagaceae,Muscari neglectum
RH 8334,"Hand,R. & GEFD-Exkursion",B GT 0018657,DB 13603,Asparagales,Asparagaceae,Muscari tenuiflorum
NHG-CFH-01,"Frosch-Hoffmann,C.",B GT 0021560,DB 14518,Asparagales,Asparagaceae,Ornithogalum boucheanum
2370,O. Appel,B GT 0017216,DB 14596,Asparagales,Asparagaceae,Ornithogalum nutans
NHG-TR-03,"Troeder,W.",B GT 0021568,DB 14524,Asparagales,Asparagaceae,Ornithogalum nutans
FJW-2018-0003,F.-J. Weicherding,B GT 0024154,DB 35157,Asparagales,Asparagaceae,Ornithogalum pyrenaicum
7398,R. Hand,B GT 0017336,DB 14661,Asparagales,Asparagaceae,Ornithogalum umbellatum
FJW-2016-0025,"Weicherding,F.-J.",B GT 0017874,DB 13215,Asparagales,Asparagaceae,Ornithogalum umbellatum
36840,K. P. Buttler,B GT 0021970,DB 14783,Asparagales,Asparagaceae,Ornithogalum umbellatum
36836,K. P. Buttler,B GT 0024930,DB 15403,Asparagales,Asparagaceae,Ornithogalum umbellatum
36410,"Buttler,K.P.",B GT 0018590,DB 14076,Asparagales,Asparagaceae,Polygonatum multiflorum
PC 218,"Ciongwa,P.",B GT 0021406,DB 14362,Asparagales,Asparagaceae,Polygonatum multiflorum
AMB-GBOL2-96,A.-M. Barniske,B GT 0021846,DB 30910,Asparagales,Asparagaceae,Polygonatum multiflorum
7945,"Hand,R.",B GT 0014692,DB 13006,Asparagales,Asparagaceae,Polygonatum odoratum
RH 7796,"Hand,R., Busl,F. & Niederbichler,C.",B GT 0017013,DB 12877,Asparagales,Asparagaceae,Polygonatum verticillatum
35702,"Buttler,K.P.",B GT 0018173,DB 13961,Asparagales,Asparagaceae,Polygonatum verticillatum
36849,K. P. Buttler,B GT 0024906,DB 14763,Asparagales,Asparagaceae,Polygonatum verticillatum
20170511-40,"Höcker,R.",G BT 0021527,DB 14285,Asparagales,Asparagaceae,Scilla amoena
FJW-2016-0010,"Weicherding,F.-J.",B GT 0017906,DB 13200,Asparagales,Asparagaceae,Scilla bifolia
8135,"Hand,R.",B GT 0021255,DB 13561,Asparagales,Asparagaceae,Scilla bifolia
2330,O. Appel,B GT 0024364,DB 15640,Asparagales,Asparagaceae,Scilla bifolia
20170326-11,"Seitz,H.",G BT 0021503,DB 14260,Asparagales,Asparagaceae,Scilla bifolia
2337,O. Appel,B GT 0017776,DB 15407,Asparagales,Asparagaceae,Scilla luciliae
36183,K. P. Buttler,B GT 0018409,DB 14910,Asparagales,Asparagaceae,Scilla luciliae
2332,"Appel,O.",B GT 0018002,DB 13378,Asparagales,Asparagaceae,Scilla siberica
36180,"Buttler,K.P.",B GT 0018406,DB 14045,Asparagales,Asparagaceae,Scilla siberica
FJW-2016-0008,F.-J. Weicherding,B GT 0017908,DB 14722,Asparagales,Asparagaceae,Scilla siehei
FJW-2016-0006,F.-J. Weicherding,B GT 0017910,DB 14721,Asparagales,Asparagaceae,Scilla siehei
9MB,M. Berghofer,B GT 0021333,DB 29486,Asparagales,Iridaceae,Crocus albiflorus
AM4,A. Mayer,B GT 0024717,DB 15392,Asparagales,Iridaceae,Crocus albiflorus
PC 105,"Ciongwa,P.",B GT 0017393,DB 13135,Asparagales,Iridaceae,Crocus tommasinianus
FJW-2016-0001,"Weicherding,F.-J.",B GT 0017927,DB 13194,Asparagales,Iridaceae,Crocus tommasinianus
8390,"Hand,R.",B GT 0018713,DB 13632,Asparagales,Iridaceae,Iris aphylla
8549,"Hand,R.",B GT 0018873,DB 13730,Asparagales,Iridaceae,Iris germanica
8942,R. Hand,B GT 0024816,DB 15687,Asparagales,Iridaceae,Iris pallida
36855,K. P. Buttler,B GT 0024936,DB 14748,Asparagales,Iridaceae,Iris pseudacorus
NM2018/2,N. Meyer,B GT 0024642,DB 15260,Asparagales,Iridaceae,Iris sambucina
RH 7815,"Hand,R., Berghofer,M. & Niederbichler,C.",B GT 0014834,DB 12896,Asparagales,Iridaceae,Iris sibirica
RH 8773,"Hand,R., Adler,B. & Adler,J.",B GT 0021105,DB 13851,Asparagales,Iridaceae,Iris sibirica
,,B GT 0024741,DB 15000,Asparagales,Iridaceae,Iris sibirica
7439,R. Hand,B GT 0017147,DB 15429,Asparagales,Iridaceae,Iris spec.
,A. König,B GT 0024597,DB 15616,Asparagales,Iridaceae,Iris spuria
20180944,G. Schepers,B GT 0024542,DB 15366,Asparagales,Iridaceae,Iris versicolor
8362,"Hand,R.",B GT 0018685,DB 13618,Asparagales,Orchidaceae,Cephalanthera damasonium
20180214,G. Schepers,B GT 0024558,DB 15296,Asparagales,Orchidaceae,Cephalanthera damasonium
20180213,G. Schepers,B GT 0024573,DB 15295,Asparagales,Orchidaceae,Cephalanthera longifolia
,A. König,B GT 0024596,DB 15614,Asparagales,Orchidaceae,Cephalanthera longifolia
NM2018/8,N. Meyer,B GT 0024640,DB 15266,Asparagales,Orchidaceae,Cephalanthera longifolia
,B. Schwarzberg,B GT 0024684,DB 15276,Asparagales,Orchidaceae,Cephalanthera longifolia
8654,R. Hand,B GT 0018977,DB 14869,Asparagales,Orchidaceae,Cephalanthera rubra
GBOL4,L. Meierott,B GT 0024492,DB 15648,Asparagales,Orchidaceae,Cephalanthera rubra
20180236,G. Schepers,B GT 0024549,DB 15315,Asparagales,Orchidaceae,Cephalanthera rubra
NM2018/7,N. Meyer,B GT 0024647,DB 15265,Asparagales,Orchidaceae,Cephalanthera rubra
8675,R. Hand,B GT 0021007,DB 29343,Asparagales,Orchidaceae,Chamorchis alpina
RH 7896,"Hand,R. & Niederbichler,C.",B GT 0014742,DB 12961,Asparagales,Orchidaceae,Coeloglossum viride
20180941,G. Schepers,B GT 0024605,DB 15364,Asparagales,Orchidaceae,Cypripedium calceolus
NM2018/6,N. Meyer,B GT 0024646,DB 15264,Asparagales,Orchidaceae,Cypripedium calceolus
RH 7980,"Hand,R., Berghofer,M. & Niederbichler,C.",B GT 0014679,DB 13039,Asparagales,Orchidaceae,Dactylorhiza fuchsii
KPB 36604,"Buttler,K.P. & Hemm,K.",B GT 0017750,DB 14156,Asparagales,Orchidaceae,Dactylorhiza fuchsii
KPB 36545,"Buttler,K.P., Nawrath,S., Gottschalk,S. & Heckert,U.",B GT 0017753,DB 14133,Probe nicht gefunden,,
36530,"Buttler,K.P.",B GT 0018530,DB 14128,Probe nicht gefunden,,
2017-70,R. Mause,B GT 0021780,DB 30849,Asparagales,Orchidaceae,Dactylorhiza majalis
20170521-42,"Höcker,R.",G BT 0021456,DB 14287,Asparagales,Orchidaceae,Dactylorhiza majalis
20180218,G. Schepers,B GT 0024559,DB 15299,Asparagales,Orchidaceae,Dactylorhiza sambucina
7849,R. Hand,B GT 0014797,DB 29245,Asparagales,Orchidaceae,Epipactis atrorubens
8367,"Hand,R.",B GT 0018690,DB 13621,Asparagales,Orchidaceae,Epipactis atrorubens
8460,"Hand,R.",B GT 0018784,DB 13672,Asparagales,Orchidaceae,Epipactis atrorubens
7942,"Hand,R.",B GT 0014689,DB 13003,Asparagales,Orchidaceae,Epipactis helleborine
36669,"Buttler,K.P.",B GT 0018464,DB 14186,Asparagales,Orchidaceae,Epipactis helleborine
8510,R. Hand,B GT 0018834,DB 14840,Asparagales,Orchidaceae,Epipactis helleborine
8661,R. Hand,B GT 0018984,DB 15239,Asparagales,Orchidaceae,Epipactis helleborine
2652,O. Appel,B GT 0021812,DB 30972,Asparagales,Orchidaceae,Epipactis helleborine
9053,R. Hand,B GT 0024849,DB 15115,Asparagales,Orchidaceae,Epipactis leptochila
9063,R. Hand,B GT 0024860,DB 15117,Asparagales,Orchidaceae,Epipactis muelleri
RH 7836,"Hand,R. & Niederbichler,C.",B GT 0014813,DB 12916,Asparagales,Orchidaceae,Epipactis palustris
,,B GT 0024749,DB 14992,Asparagales,Orchidaceae,Epipactis palustris
7838,R. Hand,B GT 0014811,DB 29234,Asparagales,Orchidaceae,Goodyera repens
36696,K. P. Buttler 36696 & M. Lorek,B GT 0018505,DB 29447,Asparagales,Orchidaceae,Goodyera repens
RH 7966,"Hand,R., Berghofer,M. & Niederbichler,C.",B GT 0014513,DB 13025,Asparagales,Orchidaceae,Gymnadenia conopsea
36625,K. P. Buttler,B GT 0017779,DB 14931,Asparagales,Orchidaceae,Gymnadenia conopsea
8370,R. Hand,B GT 0018693,DB 14824,Asparagales,Orchidaceae,Gymnadenia densiflora
8552,R. Hand,B GT 0018876,DB 29330,Asparagales,Orchidaceae,Gymnadenia densiflora
7850,R. Hand,B GT 0014796,DB 29246,Asparagales,Orchidaceae,Gymnadenia odoratissima
9071,R. Hand,B GT 0024863,DB 15047,Asparagales,Orchidaceae,Gymnadenia odoratissima
2018-10,R. Mause,B GT 0024291,DB 15789,Asparagales,Orchidaceae,Herminium monorchis
9078,R. Hand 9078 & M. Berghofer,B GT 0024867,DB 15053,Asparagales,Orchidaceae,Herminium monorchis
8280,R. Hand,B GT 0021278,DB 29261,Asparagales,Orchidaceae,Himantoglossum hircinum
20180233,G. Schepers,B GT 0024583,DB 15312,Asparagales,Orchidaceae,Limodorum abortivum
