Collector's No,Collector(s),Tissue ID,DNA Sample ID,Order,Family,Genus,Anmerkungen,GBOL ID
KPB 35986,"Buttler,K.P. & Diguet,A.",B GT 0018131,DB 14036,Caryophyllales,Amaranthaceae,Amaranthus albus,,
FJW-2017-0060,F.-J. Weicherding,B GT 0021628,DB 30797,Caryophyllales,Amaranthaceae,Amaranthus blitoides,,
DH-AMBL18-1,D. Hanselmann,B GT 0024247,DB 15796,Caryophyllales,Amaranthaceae,Amaranthus blitum,,
DH-AMBL18-2,D. Hanselmann,B GT 0024262,DB 15799,Caryophyllales,Amaranthaceae,Amaranthus blitum,,
RH 6941,"Hand,R. & Kartierexkursion",B GT 0017193,DB 12470,Caryophyllales,Amaranthaceae,Amaranthus emarginatus,,
7001,"Hand,R.",B GT 0017610,DB 12477,Caryophyllales,Amaranthaceae,Amaranthus emarginatus,,
8752,R. Hand 8752 & M. Berghofer,B GT 0021084,DB 29371,Caryophyllales,Amaranthaceae,Amaranthus emarginatus,,
8788,R. Hand,B GT 0021120,DB 29384,Caryophyllales,Amaranthaceae,Amaranthus emarginatus,,
8022,"Hand,R.",B GT 0017937,DB 13078,Caryophyllales,Amaranthaceae,Amaranthus powellii,,
KPB 35985,"Buttler,K.P. & Diguet,A.",B GT 0018130,DB 14035,Caryophyllales,Amaranthaceae,Amaranthus powellii,,
AMB-GBOL-13,"Barniske,A.-M.",B GT 0018216,DB 14317,Caryophyllales,Amaranthaceae,Amaranthus retroflexus,,
RH 8453,"Hand,R. & Dunkel,F.G.",B GT 0018777,DB 13666,Caryophyllales,Caryophyllaceae,Agrostemma githago,,
36559,K. P. Buttler,B GT 0017766,DB 14919,Caryophyllales,Caryophyllaceae,Arenaria leptoclados,,
WB-124,"Bleeker,W.",B GT 0018225,DB 14441,Caryophyllales,Caryophyllaceae,Arenaria serpyllifolia,,
NM2018/5,N. Meyer,B GT 0024645,DB 15263,Caryophyllales,Caryophyllaceae,Atocion armeria,,
8822,"Hand,R.",B GT 0021154,DB 13882,Caryophyllales,Caryophyllaceae,Atocion rupestre,,
20180932,G. Schepers,B GT 0024532,DB 15357,Caryophyllales,Caryophyllaceae,Atocion rupestre,,
7415,"Hand,R.",B GT 0017353,DB 12585,Caryophyllales,Caryophyllaceae,Cerastium arvense,,
14.05.16.07.,"Wörz,A.",B GT 0018300,DB 14220,Caryophyllales,Caryophyllaceae,Cerastium brachypetalum,,
2017-47,R. Mause,B GT 0021789,DB 15179,Caryophyllales,Caryophyllaceae,Cerastium brachypetalum,,
7368,R. Hand,B GT 0021616,DB 29233,Caryophyllales,Caryophyllaceae,Cerastium dubium,,
PC 213,"Ciongwa,P.",B GT 0021411,DB 14358,Caryophyllales,Caryophyllaceae,Cerastium glomeratum,,
2017-29,R. Mause,B GT 0021818,DB 15173,Caryophyllales,Caryophyllaceae,Cerastium glomeratum,,
2017-8,R. Mause,B GT 0021829,DB 15163,Caryophyllales,Caryophyllaceae,Cerastium glomeratum,,
2017-16,R. Mause,B GT 0021837,DB 15167,Caryophyllales,Caryophyllaceae,Cerastium glomeratum,,
2017-19,R. Mause,B GT 0021840,DB 15168,Caryophyllales,Caryophyllaceae,Cerastium glomeratum,,
PC 151,P. Ciongwa,B GT 0017519,DB 14729,Caryophyllales,Caryophyllaceae,Cerastium glutinosum,,
7336,R. Hand,B GT 0017574,DB 15425,Caryophyllales,Caryophyllaceae,Cerastium glutinosum,,
FJW-2016-0027,"Weicherding,F.-J.",B GT 0017872,DB 13217,Caryophyllales,Caryophyllaceae,Cerastium glutinosum,,
36234,K. P. Buttler,B GT 0018608,DB 14878,Caryophyllales,Caryophyllaceae,Cerastium glutinosum,,
FJW-2014-0004,"Weicherding,F.-J.",B GT 0018348,DB 14330,Caryophyllales,Caryophyllaceae,Cerastium holosteoides,,
RH 7892,"Hand,R. & Niederbichler,C.",B GT 0014738,DB 12957,Caryophyllales,Caryophyllaceae,Cerastium latifolium,,
5081,"Thiv,M.",B GT 0018309,DB 13543,Caryophyllales,Caryophyllaceae,Cerastium pumilum,,
7314,R. Hand,B GT 0017552,DB 15421,Caryophyllales,Caryophyllaceae,Cerastium semidecandrum,,
36233,K. P. Buttler,B GT 0018609,DB 14877,Caryophyllales,Caryophyllaceae,Cerastium semidecandrum,,
8127,R. Hand,B GT 0021247,DB 15230,Caryophyllales,Caryophyllaceae,Cerastium semidecandrum,,
PC 229,"Ciongwa,P.",B GT 0021396,DB 14371,Caryophyllales,Caryophyllaceae,Cerastium tomentosum,,
8968,R. Hand,B GT 0024839,DB 14958,Caryophyllales,Caryophyllaceae,Cochlearia danica,,
RH 8500,"Hand,R. & John,H.",B GT 0018824,DB 13694,Caryophyllales,Caryophyllaceae,Dianthus armeria,,
8297,"Hand,R.",B GT 0021295,DB 13582,Caryophyllales,Caryophyllaceae,Dianthus carthusianorum,,
FJW-2017-0014,F.-J. Weicherding,B GT 0021649,DB 30756,Caryophyllales,Caryophyllaceae,Dianthus carthusianorum,,
WEM069,W. Melenk (GBOL-Bioblitz 2017),B GT 0021907,DB 15675,Caryophyllales,Caryophyllaceae,Dianthus carthusianorum,,
FJW-2014-0085,"Weicherding,F.-J.",B GT 0014649,DB 26829,Caryophyllales,Caryophyllaceae,Dianthus giganteus,Gewebe fehlt; Tüte Aufsammlung nicht vorhanden,
,,B GT 0024751,DB 14990,Caryophyllales,Caryophyllaceae,Dianthus gratianopolitanus,,
9056,R. Hand,B GT 0024850,DB 15036,Caryophyllales,Caryophyllaceae,Dianthus gratianopolitanus,,
20182411,G. Schepers,B GT 0024631,DB 15382,Caryophyllales,Caryophyllaceae,Dianthus superbus,,
RH 7792,"Hand,R., Busl,F. & Niederbichler,C.",B GT 0017009,DB 12873,Caryophyllales,Caryophyllaceae,Dianthus sylvaticus,,
9149,R. Hand 9149 & M. Berghofer,B GT 0024969,DB 15073,Caryophyllales,Caryophyllaceae,Dianthus sylvestris,,
8581,"Hand,R.",B GT 0018905,DB 13748,Caryophyllales,Caryophyllaceae,Gypsophila muralis,,
2018-14,R. Mause,B GT 0024287,DB 15793,Caryophyllales,Caryophyllaceae,Gypsophila muralis,,
8068,"Hand,R.",B GT 0017854,DB 13118,Caryophyllales,Caryophyllaceae,Gypsophila perfoliata,,
PC 234,"Ciongwa,P.",B GT 0021391,DB 14375,Caryophyllales,Caryophyllaceae,Herniaria glabra,,
2669,O. Appel,B GT 0021989,DB 30983,Caryophyllales,Caryophyllaceae,Herniaria glabra,,
8838,"Hand,R.",B GT 0021170,DB 13891,Caryophyllales,Caryophyllaceae,Herniaria hirsuta,,
7312,"Hand,R.",B GT 0017550,DB 12497,Caryophyllales,Caryophyllaceae,Holosteum umbellatum,,
36195,"Buttler,K.P.",B GT 0018416,DB 14054,Caryophyllales,Caryophyllaceae,Holosteum umbellatum,,
2017-25,R. Mause,B GT 0021814,DB 30819,Caryophyllales,Caryophyllaceae,Holosteum umbellatum,,
36479,"Buttler,K.P.",B GT 0018534,DB 14111,Caryophyllales,Caryophyllaceae,Honckenya peploides,,
FJW-2017-0023,F.-J. Weicherding,B GT 0021654,DB 30765,Caryophyllales,Caryophyllaceae,Lychnis coronaria,,
2699,O. Appel,B GT 0024144,DB 15842,Caryophyllales,Caryophyllaceae,Lychnis flos-cuculi,,
7422,"Hand,R.",B GT 0017360,DB 12591,Caryophyllales,Caryophyllaceae,Lychnis viscaria,,
8291,"Hand,R.",B GT 0021289,DB 13578,Caryophyllales,Caryophyllaceae,Lychnis viscaria,,
20170525-46,"Höcker,R.",G BT 0021459,DB 14290,Caryophyllales,Caryophyllaceae,Lychnis viscaria,,
8050,"Hand,R.",B GT 0017837,DB 13102,Caryophyllales,Caryophyllaceae,Minuartia caespitosa,,
2017-120,R. Mause,B GT 0021717,DB 30891,Caryophyllales,Caryophyllaceae,Minuartia caespitosa,,
7900,R. Hand 7900 & C. Niederbichler,B GT 0014731,DB 15452,Caryophyllales,Caryophyllaceae,Minuartia cf. gerardi,,
RH 7871,"Hand,R. & Niederbichler,C.",B GT 0014775,DB 12937,Caryophyllales,Caryophyllaceae,Minuartia gerardi,,
9142,R. Hand,B GT 0024887,DB 15216,Caryophyllales,Caryophyllaceae,Minuartia gerardi,,
9133,R. Hand,B GT 0024888,DB 15214,Caryophyllales,Caryophyllaceae,Minuartia gerardi,,
RH 8765,"Hand,R., Adler,B. & Adler,J.",B GT 0021097,DB 13845,Caryophyllales,Caryophyllaceae,Minuartia hybrida,,
8955,R. Hand 8955 & GEFD-Exkursion,B GT 0024827,DB 14951,Caryophyllales,Caryophyllaceae,Minuartia hybrida,,
9067,R. Hand,B GT 0024891,DB 15044,Caryophyllales,Caryophyllaceae,Minuartia rubra,,
8673,R. Hand,B GT 0021005,DB 15477,Caryophyllales,Caryophyllaceae,Minuartia sedoides,,
9096,R. Hand,B GT 0021962,DB 15211,Caryophyllales,Caryophyllaceae,Minuartia sedoides,,
7706,"Hand,R.",B GT 0014937,DB 12793,Caryophyllales,Caryophyllaceae,Minuartia setacea,,
,B. Schwarzberg,B GT 0024649,DB 15273,Caryophyllales,Caryophyllaceae,Minuartia viscosa,,
RH 7834,"Hand,R. & Niederbichler,C.",B GT 0014815,DB 12914,Caryophyllales,Caryophyllaceae,Moehringia ciliata,,
,,B GT 0018999,DB 14967,Caryophyllales,Caryophyllaceae,Moenchia erecta,,
36897,K. P. Buttler,B GT 0024920,DB 14751,Caryophyllales,Caryophyllaceae,Petrorhagia saxifraga,,
8083,"Hand,R.",B GT 0017921,DB 13130,Caryophyllales,Caryophyllaceae,Polycarpon tetraphyllum,,
RH 8747,"Hand,R., Berghofer,M. & Niederbichler,C.",B GT 0021079,DB 13839,Caryophyllales,Caryophyllaceae,Polycarpon tetraphyllum,,
7619,"Hand,R.",B GT 0014851,DB 12714,Caryophyllales,Caryophyllaceae,Sagina apetala,,
36615,K. P. Buttler,B GT 0017793,DB 14929,Caryophyllales,Caryophyllaceae,Sagina apetala,,
7597,"Hand,R.",B GT 0017037,DB 12698,Caryophyllales,Caryophyllaceae,Sagina maritima,,
7562,"Hand,R.",B GT 0017072,DB 12673,Caryophyllales,Caryophyllaceae,Sagina micropetala,,
RH 8775,"Hand,R. & Höcker,R.",B GT 0021107,DB 13852,Caryophyllales,Caryophyllaceae,Sagina nodosa,,
7599,R. Hand,B GT 0017035,DB 15439,Caryophyllales,Caryophyllaceae,Sagina procumbens,,
7932,R. Hand,B GT 0014706,DB 14673,Caryophyllales,Caryophyllaceae,Sagina saginoides,,
2499,"Appel,O.",B GT 0018100,DB 13473,Caryophyllales,Caryophyllaceae,Saponaria officinalis,,
AMB-GBOL2-128,A.-M. Barniske,B GT 0021877,DB 30942,Caryophyllales,Caryophyllaceae,Saponaria officinalis,,
7617,"Hand,R.",B GT 0017017,DB 12713,Caryophyllales,Caryophyllaceae,Scleranthus annuus,,
6937,"Hand,R.",B GT 0017191,DB 12468,Caryophyllales,Caryophyllaceae,Scleranthus perennis,,
7417,"Hand,R.",B GT 0017355,DB 12587,Caryophyllales,Caryophyllaceae,Scleranthus polycarpos,,
8274,R. Hand,B GT 0021272,DB 29259,Caryophyllales,Caryophyllaceae,Scleranthus polycarpos,,
7352,"Hand,R.",B GT 0017590,DB 12529,Caryophyllales,Caryophyllaceae,Scleranthus verticillatus,,
8273,R. Hand,B GT 0021271,DB 29258,Caryophyllales,Caryophyllaceae,Scleranthus verticillatus,,
9094,R. Hand,B GT 0021963,DB 15124,Caryophyllales,Caryophyllaceae,Silene acaulis,,
8960,R. Hand,B GT 0024803,DB 14955,Caryophyllales,Caryophyllaceae,Silene conica,,
RH 8490,"Hand,R. & John,H.",B GT 0018814,DB 13689,Caryophyllales,Caryophyllaceae,Silene dichotoma,,
FJW-2017-0050,F.-J. Weicherding,B GT 0021691,DB 30787,Caryophyllales,Caryophyllaceae,Silene dichotoma,,
MS-TH-4,"Schön,M.",B GT 0021584,DB 14527,Caryophyllales,Caryophyllaceae,Silene dioica,,
AMB-GBOL2-123,A.-M. Barniske,B GT 0021882,DB 30937,Caryophyllales,Caryophyllaceae,Silene dioica,,
PC 253,"Ciongwa,P.",B GT 0021372,DB 14392,Caryophyllales,Caryophyllaceae,Silene latifolia,,
8392,"Hand,R.",B GT 0018716,DB 13634,Caryophyllales,Caryophyllaceae,Silene nutans,,
,,B GT 0024722,DB 15017,Caryophyllales,Caryophyllaceae,Silene tatarica,,
8049,"Hand,R.",B GT 0017836,DB 13101,Caryophyllales,Caryophyllaceae,Silene vulgaris,,
2655,O. Appel,B GT 0021993,DB 30974,Caryophyllales,Caryophyllaceae,Silene vulgaris,,
7546,"Hand,R.",B GT 0017088,DB 12658,Caryophyllales,Caryophyllaceae,Spergula arvensis,,
2513,"Appel,O.",B GT 0018047,DB 13477,Caryophyllales,Caryophyllaceae,Spergula arvensis,,
8335,R. Hand 8335 & GEFD-Exkursion,B GT 0018658,DB 29276,Caryophyllales,Caryophyllaceae,Spergula pentandra,,
RH 7226,"Hand,R. & GEFD-Exkursion",B GT 0005594,DB 13548,Caryophyllales,Caryophyllaceae,Spergularia kurkae,,
14026,"Zippel,E.",B GT 0018362,DB 13937,Caryophyllales,Caryophyllaceae,Spergularia marina,,
36755,K. P. Buttler 36755 & S. Gottschalk,B GT 0018423,DB 14905,Caryophyllales,Caryophyllaceae,Spergularia marina,,
7613,R. Hand,B GT 0017021,DB 14667,Caryophyllales,Caryophyllaceae,Spergularia media,,
8062,"Hand,R.",B GT 0017848,DB 13112,Caryophyllales,Caryophyllaceae,Spergularia media,,
7585,R. Hand,B GT 0017049,DB 15437,Caryophyllales,Caryophyllaceae,Spergularia rubra,,
36467,"Buttler,K.P.",B GT 0017728,DB 14103,Caryophyllales,Caryophyllaceae,Spergularia rubra,,
MS-TH-13,"Schön,M.",B GT 0021593,DB 14533,Caryophyllales,Caryophyllaceae,Stellaria alsine,,
WB-122,"Bleeker,W.",B GT 0018226,DB 14440,Caryophyllales,Caryophyllaceae,Stellaria aquatica,,
36899,K. P. Buttler,B GT 0024917,DB 14778,Caryophyllales,Caryophyllaceae,Stellaria graminea,,
FJW-2017-0010,F.-J. Weicherding,B GT 0021603,DB 30753,Caryophyllales,Caryophyllaceae,Stellaria media,,
2017-4,R. Mause,B GT 0021825,DB 15162,Caryophyllales,Caryophyllaceae,Stellaria media,,
AMB-GBOL2-101,A.-M. Barniske,B GT 0021862,DB 30915,Caryophyllales,Caryophyllaceae,Stellaria media,,
2017-21,R. Mause,B GT 0021842,DB 15169,Caryophyllales,Caryophyllaceae,Stellaria neglecta,,
2394,O. Appel,B GT 0017232,DB 14601,Caryophyllales,Caryophyllaceae,Stellaria nemorum,,
PC 216,"Ciongwa,P.",B GT 0021408,DB 14360,Caryophyllales,Caryophyllaceae,Stellaria nemorum,,
AMB-GBOL2-94,A.-M. Barniske,B GT 0021848,DB 30908,Caryophyllales,Caryophyllaceae,Stellaria nemorum,,
36892,K. P. Buttler,B GT 0024931,DB 14767,Caryophyllales,Caryophyllaceae,Stellaria nemorum,,
9057,R. Hand,B GT 0024851,DB 15037,Caryophyllales,Caryophyllaceae,Thymus praecox,,
MJ 18-3,M. Jäger,B GT 0024102,DB 15664,Caryophyllales,Chenopodiaceae,Atriplex calotheca,,
36503,K. P. Buttler,B GT 0018532,DB 15498,Caryophyllales,Chenopodiaceae,Atriplex cf. longipes,,
7039,R. Hand,B GT 0017622,DB 15418,Caryophyllales,Chenopodiaceae,Atriplex cf. prostrata,,
FJW-2014-0118,F.-J. Weicherding,B GT 0018323,DB 15509,Caryophyllales,Chenopodiaceae,Atriplex cf. prostrata,,
NHG 20161008-03,W. Troeder,B GT 0017370,DB 14726,Caryophyllales,Chenopodiaceae,Atriplex oblongifolia,,
8072,R. Hand 8072 & GEFD-Exkursion,B GT 0017858,DB 15459,Caryophyllales,Chenopodiaceae,Atriplex patula,,
7026,"Hand,R.",B GT 0017618,DB 12480,Caryophyllales,Chenopodiaceae,Atriplex prostrata,,
7034,R. Hand,B GT 0017620,DB 15417,Caryophyllales,Chenopodiaceae,Atriplex prostrata,,
7048,R. Hand,B GT 0017624,DB 15419,Caryophyllales,Chenopodiaceae,Atriplex prostrata,,
20182414,G. Schepers,B GT 0024621,DB 15774,Caryophyllales,Chenopodiaceae,Atriplex prostrata,,
8044,"Hand,R.",B GT 0017824,DB 13097,Caryophyllales,Chenopodiaceae,Atriplex rosea,,
8066,"Hand,R.",B GT 0017852,DB 13116,Caryophyllales,Chenopodiaceae,Atriplex rosea,,
FJW-2016-0070,"Weicherding,F.-J.",B GT 0017637,DB 13258,Caryophyllales,Chenopodiaceae,Atriplex sagittata,,
8048,"Hand,R.",B GT 0017835,DB 13100,Caryophyllales,Chenopodiaceae,Atriplex tatarica,,
8060,"Hand,R.",B GT 0017846,DB 13110,Caryophyllales,Chenopodiaceae,Atriplex tatarica,,
AS-BALA18,A. Schönhofer,B GT 0024267,DB 15805,Caryophyllales,Chenopodiaceae,Bassia laniflora,,
,A. König,B GT 0024379,DB 15612,Caryophyllales,Chenopodiaceae,Bassia laniflora,,
8059,"Hand,R.",B GT 0017845,DB 13109,Caryophyllales,Chenopodiaceae,Bassia scoparia,,
,A. König,B GT 0024498,DB 15613,Caryophyllales,Chenopodiaceae,Brassica oleracea,Gewebe fehlt; Tüte Aufsammlung nicht vorhanden,
2016-35,"Mause,R.",B GT 0017480,DB 13534,Caryophyllales,Chenopodiaceae,Chenopodium bonus-henricus,,
,,B GT 0024795,DB 14970,Caryophyllales,Chenopodiaceae,Chenopodium bonus-henricus,,
20180902,G. Schepers,B GT 0024902,DB 15331,Caryophyllales,Chenopodiaceae,Chenopodium bonus-henricus,Gewebe fehlt; Tüte Aufsammlung nicht vorhanden,
RH 8077,"Hand,R. & GEFD-Exkursion",B GT 0017915,DB 13125,Caryophyllales,Chenopodiaceae,Chenopodium chenopodioides,,
8736,"Hand,R.",B GT 0021068,DB 13833,Caryophyllales,Chenopodiaceae,Chenopodium ficifolium,,
2017-103,R. Mause,B GT 0021705,DB 30875,Caryophyllales,Chenopodiaceae,Chenopodium hybridum,,
8021,"Hand,R.",B GT 0017936,DB 13077,Caryophyllales,Chenopodiaceae,Chenopodium rubrum,,
PC 88,P. Ciongwa,B GT 0018238,DB 15518,Caryophyllales,Chenopodiaceae,Chenopodium strictum,,
FJW-2014-0093,"Weicherding,F.-J.",B GT 0018326,DB 14334,Caryophyllales,Chenopodiaceae,Chenopodium strictum,,
36789,K. P. Buttler 36789 & A. Diguet,B GT 0018474,DB 15744,Caryophyllales,Chenopodiaceae,Chenopodium urbicum,,
20170728-74,R. Höcker,G BT 0021487,DB 29483,Caryophyllales,Chenopodiaceae,Chenopodium urbicum,,
RH 8599,"Hand,R. & Seitz,H.",B GT 0018923,DB 13760,Caryophyllales,Chenopodiaceae,Chenopodium vulvaria,,
20170716-68,"Höcker,R.",G BT 0021481,DB 14304,Caryophyllales,Chenopodiaceae,Corispermum leptopterum,,
KPB 36790,"Buttler,K.P. & Diguet,A.",B GT 0018426,DB 14212,Caryophyllales,Chenopodiaceae,Dysphania botrys,,
35915,"Buttler,K.P.",B GT 0018129,DB 14031,Caryophyllales,Chenopodiaceae,Dysphania pumilio,,
NM2017/2,N. Meyer,B GT 0021622,DB 29525,Caryophyllales,Chenopodiaceae,Polycnemum majus,,
8064,"Hand,R.",B GT 0017850,DB 13114,Caryophyllales,Chenopodiaceae,Salicornia europaea,,
7602,R. Hand,B GT 0017032,DB 15441,Caryophyllales,Chenopodiaceae,Salicornia stricta,,
DS-2018-013,D. Schabelreiter,B GT 0024417,DB 15540,Caryophyllales,Chenopodiaceae,Salicornia stricta,,
8058,"Hand,R.",B GT 0017844,DB 13108,Caryophyllales,Chenopodiaceae,Salsola tragus,,
8057,"Hand,R.",B GT 0017843,DB 13107,Caryophyllales,Chenopodiaceae,Suaeda maritima,,
8715,R. Hand 8715 & M. Berghofer,B GT 0021047,DB 29354,Caryophyllales,Droseraceae,Drosera anglica,,
8714,R. Hand 8714 & M. Berghofer,B GT 0021046,DB 15243,Caryophyllales,Droseraceae,Drosera cf. intermedia,,
2660,O. Appel,B GT 0021811,DB 14566,Caryophyllales,Droseraceae,Drosera intermedia,,
2017-105,R. Mause,B GT 0021703,DB 30877,Caryophyllales,Droseraceae,Drosera rotundifolia,,
7583,"Hand,R.",B GT 0017051,DB 12688,Caryophyllales,Montiaceae,Claytonia perfoliata,,
2340,"Appel,O.",B GT 0017228,DB 13382,Caryophyllales,Montiaceae,Claytonia perfoliata,Gewebe fehlt; Tüte Aufsammlung nicht vorhanden,
2016-6,R. Mause,B GT 0017471,DB 15506,Caryophyllales,Montiaceae,Montia arvensis,,
2016-3,R. Mause,B GT 0017491,DB 15504,Caryophyllales,Montiaceae,Montia arvensis,,
2016-1,R. Mause,B GT 0017498,DB 15503,Caryophyllales,Montiaceae,Montia arvensis,,
FJW-2016-0079,"Weicherding,F.-J.",B GT 0017628,DB 13267,Caryophyllales,Phytolaccaceae,Phytolacca americana,Gewebe fehlt; Tüte Aufsammlung nicht vorhanden,
