Collector's No,Collector(s),Tissue ID,DNA Sample ID,Order,Family,Genus,Anmerkungen,GBOL ID
2336,"Appel,O.",B GT 0018000,DB 13380,Brassicales,Brassicaceae,Draba verna,,
36193,K. P. Buttler,B GT 0018400,DB 14875,Brassicales,Brassicaceae,Draba verna,,
8112,R. Hand,B GT 0021232,DB 14814,Brassicales,Brassicaceae,Draba verna,,
8125,R. Hand,B GT 0021245,DB 29254,Brassicales,Brassicaceae,Draba verna,,
8672,"Hand,R.",B GT 0021003,DB 13799,Brassicales,Brassicaceae,Erucastrum gallicum,,
8802,"Hand,R.",B GT 0021134,DB 13867,Brassicales,Brassicaceae,Erucastrum gallicum,,
8798,"Hand,R.",B GT 0021130,DB 13865,Brassicales,Brassicaceae,Erucastrum nasturtiifolium,,
GBOL-006,G. Himpel,B GT 0024387,DB 15639,Brassicales,Brassicaceae,Erucastrum nasturtiifolium,,
2592,O. Appel,B GT 0017254,DB 14639,Brassicales,Brassicaceae,Erysimum cheiranthoides,,
PC 274,"Ciongwa,P.",B GT 0021351,DB 14407,Brassicales,Brassicaceae,Erysimum cheiranthoides,,
8353,R. Hand 8353 & GEFD-Exkursion,B GT 0018676,DB 14822,Brassicales,Brassicaceae,Erysimum crepidifolium,,
8287,"Hand,R.",B GT 0021285,DB 13577,Brassicales,Brassicaceae,Erysimum crepidifolium,,
8298,R. Hand,B GT 0021296,DB 29266,Brassicales,Brassicaceae,Erysimum crepidifolium,,
NHG-20170831-83,R. Höcker,B GT 0021537,DB 29495,Brassicales,Brassicaceae,Erysimum marschallianum,,
NHG-TR-01,W. Troeder,B GT 0021566,DB 29502,Brassicales,Brassicaceae,Erysimum marschallianum,,
6874,R. Hand 6874 & E. von Raab-Straube,B GT 0017184,DB 14570,Brassicales,Brassicaceae,Erysimum odoratum,,
RH 8349,"Hand,R. & GEFD-Exkursion",B GT 0018672,DB 13613,Brassicales,Brassicaceae,Erysimum repandum,,
8422,R. Hand,B GT 0018746,DB 29298,Brassicales,Brassicaceae,Erysimum repandum,,
RH 8459,"Hand,R. & Dunkel,F.G.",B GT 0018783,DB 13671,Brassicales,Brassicaceae,Fourraea alpina,,
GBOL-001,G. Himpel,B GT 0024382,DB 15634,Brassicales,Brassicaceae,Hornungia petraea,,
PC 210,"Ciongwa,P.",B GT 0021414,DB 14355,Brassicales,Brassicaceae,Hornungia procumbens,,
GBOL-021,G. Himpel,B GT 0024464,DB 15570,Brassicales,Brassicaceae,Iberis amara,,
20180917,G. Schepers,B GT 0024538,DB 15345,Brassicales,Brassicaceae,Iberis amara,,
GBOL-027,G. Himpel,B GT 0024470,DB 15576,Brassicales,Brassicaceae,Iberis linifolia,,
FJW-2016-0035,"Weicherding,F.-J.",B GT 0017864,DB 13225,Brassicales,Brassicaceae,Isatis tinctoria,,
36351,"Buttler,K.P.",B GT 0018600,DB 14069,Brassicales,Brassicaceae,Isatis tinctoria,,
8943,R. Hand,B GT 0024817,DB 14945,Brassicales,Brassicaceae,Isatis tinctoria,,
9158,R. Hand,B GT 0024982,DB 15098,Brassicales,Brassicaceae,Kernera saxatilis,,
20170716-73,R. Höcker,G BT 0021486,DB 29482,Brassicales,Brassicaceae,Lepidium  densiflorum,,
FJW-2013-0082,"Weicherding,F.-J.",B GT 0018340,DB 14328,Brassicales,Brassicaceae,Lepidium  virginicum,,
8307,R. Hand,B GT 0021305,DB 29269,Brassicales,Brassicaceae,Lepidium campestre,,
35718,"Buttler,K.P.",B GT 0018184,DB 13962,Brassicales,Brassicaceae,Lepidium coronopus,,
FJW-2017-0053,F.-J. Weicherding,B GT 0021697,DB 30790,Brassicales,Brassicaceae,Lepidium didymum,,
20180211,G. Schepers,B GT 0024567,DB 15293,Brassicales,Brassicaceae,Lepidium didymum,,
36612,K. P. Buttler,B GT 0017751,DB 29432,Brassicales,Brassicaceae,Lepidium draba,,
8527,"Hand,R.",B GT 0018851,DB 13711,Brassicales,Brassicaceae,Lepidium graminifolium,,
FJW-2017-0025,F.-J. Weicherding,B GT 0021667,DB 30767,Brassicales,Brassicaceae,Lepidium graminifolium,,
PC 196,P. Ciongwa,B GT 0017439,DB 14734,Brassicales,Brassicaceae,Lepidium neglectum,,
2435,O. Appel,B GT 0017222,DB 14608,Brassicales,Brassicaceae,Lepidium ruderale,,
PC 263,P. Ciongwa,B GT 0021362,DB 29509,Brassicales,Brassicaceae,Lepidium ruderale,,
36434,K. P. Buttler,B GT 0018376,DB 14688,Brassicales,Brassicaceae,Lepidium sativum,,
35785,"Buttler,K.P.",B GT 0018150,DB 13981,Brassicales,Brassicaceae,Lepidium virginicum,,
8732,R. Hand,B GT 0021064,DB 29363,Brassicales,Brassicaceae,Lepidium virginicum,,
2397,"Appel,O.",B GT 0018028,DB 13418,Brassicales,Brassicaceae,Lunaria annua,,
36196,"Buttler,K.P.",B GT 0018415,DB 14055,Brassicales,Brassicaceae,Lunaria annua,,
36842,K. P. Buttler,B GT 0024911,DB 14766,Brassicales,Brassicaceae,Lunaria annua,,
2419,"Appel,O.",B GT 0017945,DB 13428,Brassicales,Brassicaceae,Lunaria rediviva,,
35725,"Buttler,K.P.",B GT 0018189,DB 13964,Brassicales,Brassicaceae,Lunaria rediviva,,
20170525-47,"Höcker,R.",G BT 0021460,DB 14291,Brassicales,Brassicaceae,Lunaria rediviva,,
2016-18,"Mause,R.",B GT 0017402,DB 13517,Brassicales,Brassicaceae,Microthlaspi perfoliatum,,
PC 129,P. Ciongwa,B GT 0017426,DB 14802,Brassicales,Brassicaceae,Microthlaspi perfoliatum,,
FJW-2016-0021,"Weicherding,F.-J.",B GT 0017878,DB 13211,Brassicales,Brassicaceae,Microthlaspi perfoliatum,,
36445,K. P. Buttler,B GT 0018382,DB 14689,Brassicales,Brassicaceae,Microthlaspi perfoliatum,,
8145,R. Hand,B GT 0021265,DB 14817,Brassicales,Brassicaceae,Microthlaspi perfoliatum,,
8305,R. Hand,B GT 0021303,DB 15468,Brassicales,Brassicaceae,Microthlaspi perfoliatum,,
9103,R. Hand,B GT 0024964,DB 15127,Brassicales,Brassicaceae,Nasturtium microphyllum,,
PC 199,P. Ciongwa,B GT 0017442,DB 14736,Brassicales,Brassicaceae,Nasturtium officinale,,
36569,K. P. Buttler,B GT 0017714,DB 14694,Brassicales,Brassicaceae,Nasturtium officinale,,
PC 243,"Ciongwa,P.",B GT 0021382,DB 14384,Brassicales,Brassicaceae,Noccaea caerulescens,,
20180206,G. Schepers,B GT 0024512,DB 15290,Brassicales,Brassicaceae,Noccaea caerulescens,,
20170320-08,R. Höcker,G BT 0021495,DB 29472,Brassicales,Brassicaceae,Noccaea caerulescens,,
9161,R. Hand,B GT 0024984,DB 15100,Brassicales,Brassicaceae,Noccaea montana,,
8678,R. Hand,B GT 0021010,DB 29345,Brassicales,Brassicaceae,Noccaea rotundifolia,,
8705,R. Hand,B GT 0021037,DB 29543,Brassicales,Brassicaceae,Noccaea rotundifolia,,
8884,"Hand,R.",B GT 0021216,DB 13917,Brassicales,Brassicaceae,Pseudoturritis turrita,,
36688,K. P. Buttler,B GT 0018463,DB 29444,Brassicales,Brassicaceae,Raphanus raphanistrum,,
FJW-2016-0090,F.-J. Weicherding,B GT 0021632,DB 30740,Brassicales,Brassicaceae,Raphanus raphanistrum,,
9185,R. Hand,B GT 0024778,DB 15152,Brassicales,Brassicaceae,Rapistrum perenne,,
8894,"Hand,R.",B GT 0021226,DB 13926,Brassicales,Brassicaceae,Rapistrum rugosum,,
2453,"Appel,O.",B GT 0018060,DB 13448,Brassicales,Brassicaceae,Rorippa amphibia,,
36418,"Buttler,K.P.",B GT 0018649,DB 14084,Brassicales,Brassicaceae,Rorippa amphibia,,
2705,O. Appel,B GT 0024152,DB 35151,Brassicales,Brassicaceae,Rorippa anceps,,
2446,O. Appel,B GT 0017493,DB 14610,Brassicales,Brassicaceae,Rorippa palustris,,
36768,K. P. Buttler,B GT 0018472,DB 14710,Brassicales,Brassicaceae,Rorippa palustris,,
8740,R. Hand 8740 & M. Berghofer,B GT 0021072,DB 29365,Brassicales,Brassicaceae,Rorippa palustris,,
PC 257,P. Ciongwa,B GT 0021368,DB 29508,Brassicales,Brassicaceae,Rorippa palustris,,
8739,R. Hand 8739 & M. Berghofer,B GT 0021071,DB 29364,Brassicales,Brassicaceae,Rorippa sylvestris,,
PC 258,"Ciongwa,P.",B GT 0021367,DB 14396,Brassicales,Brassicaceae,Rorippa sylvestris,,
8969,R. Hand,B GT 0024840,DB 15813,Brassicales,Brassicaceae,Rorippa sylvestris,,
FJW-2016-0049,"Weicherding,F.-J.",B GT 0017237,DB 13238,Brassicales,Brassicaceae,Sinapis arvensis,,
2443,"Appel,O.",B GT 0018054,DB 13442,Brassicales,Brassicaceae,Sinapis arvensis,,
36483,K. P. Buttler,B GT 0018565,DB 29422,Brassicales,Brassicaceae,Sinapis arvensis,,
8438,R. Hand,B GT 0018762,DB 29304,Brassicales,Brassicaceae,Sinapis arvensis,,
2401,"Appel,O.",B GT 0017247,DB 13421,Brassicales,Brassicaceae,Sisymbrium altissimum,,
2430,"Appel,O.",B GT 0018065,DB 13436,Brassicales,Brassicaceae,Sisymbrium altissimum,,
35781,"Buttler,K.P.",B GT 0018149,DB 13979,Brassicales,Brassicaceae,Sisymbrium altissimum,,
20170716-71,R. Höcker,B GT 0021484,DB 15508,Brassicales,Brassicaceae,Sisymbrium altissimum,,
8586,R. Hand,B GT 0018910,DB 29338,Brassicales,Brassicaceae,Sisymbrium austriacum,,
8973,R. Hand,B GT 0024682,DB 15113,Brassicales,Brassicaceae,Sisymbrium irio,,
8399,R. Hand,B GT 0018723,DB 14831,Brassicales,Brassicaceae,Sisymbrium loeselii,,
36597,"Buttler,K.P.",B GT 0017713,DB 14153,Brassicales,Brassicaceae,Sisymbrium officinale,,
8345,R. Hand 8345 & GEFD-Exkursion,B GT 0018668,DB 29279,Brassicales,Brassicaceae,Sisymbrium orientale,,
35845,"Buttler,K.P.",B GT 0018176,DB 14010,Brassicales,Brassicaceae,Sisymbrium strictissimum,,
8115,R. Hand,B GT 0021235,DB 15227,Brassicales,Brassicaceae,Stellaria media,Gewebe fehlt; Tüte Aufsammlung nicht vorhanden,
2422,"Appel,O.",B GT 0017226,DB 13430,Brassicales,Brassicaceae,Teesdalia nudicaulis,,
35779,"Buttler,K.P.",B GT 0018145,DB 13978,Brassicales,Brassicaceae,Teesdalia nudicaulis,,
2017-45,R. Mause,B GT 0021800,DB 30832,Brassicales,Brassicaceae,Teesdalia nudicaulis,,
2016-8,"Mause,R.",B GT 0017469,DB 13507,Brassicales,Brassicaceae,Thlaspi alliaceum,,
2399,"Appel,O.",B GT 0017198,DB 13420,Brassicales,Brassicaceae,Thlaspi arvense,,
8136,"Hand,R.",B GT 0021256,DB 13562,Brassicales,Brassicaceae,Thlaspi arvense,,
2017-9,R. Mause,B GT 0021830,DB 30810,Brassicales,Brassicaceae,Thlaspi arvense,,
36856,K. P. Buttler,B GT 0024949,DB 14780,Brassicales,Brassicaceae,Thlaspi arvense,,
20170416-28,"Höcker,R.",G BT 0021515,DB 14273,Brassicales,Brassicaceae,Thlaspi arvense,,
PC 223,"Ciongwa,P.",B GT 0021402,DB 14366,Brassicales,Brassicaceae,Turritis glabra,,
2017-61,R. Mause,B GT 0021766,DB 30840,Brassicales,Brassicaceae,Turritis glabra,,
7446,"Hand,R.",B GT 0017136,DB 12612,Brassicales,Resedaceae,Reseda lutea,,
NHG 20161008-04,"Troeder,W.",B GT 0017293,DB 13307,Brassicales,Resedaceae,Reseda lutea,,
PC 195,"Ciongwa,P.",B GT 0017438,DB 14549,Brassicales,Resedaceae,Reseda lutea,,
FJW-2016-0041,"Weicherding,F.-J.",B GT 0017246,DB 13231,Brassicales,Resedaceae,Reseda luteola,,
PC 169,"Ciongwa,P.",B GT 0017458,DB 13176,Brassicales,Resedaceae,Reseda luteola,,
36596,"Buttler,K.P.",B GT 0017712,DB 14152,Brassicales,Resedaceae,Reseda luteola,,
PC 102,"Ciongwa,P.",B GT 0017389,DB 13133,Dipsacales,Adoxaceae,Adoxa moschatellina,,
2347,"Appel,O.",B GT 0018026,DB 13386,Dipsacales,Adoxaceae,Adoxa moschatellina,,
8118,"Hand,R.",B GT 0021238,DB 13552,Dipsacales,Adoxaceae,Adoxa moschatellina,,
20170407-20,"Höcker,R.",G BT 0021497,DB 14265,Dipsacales,Adoxaceae,Adoxa moschatellina,,
35905,"Buttler,K.P.",B GT 0018196,DB 14028,Dipsacales,Adoxaceae,Sambucus ebulus,,
MS-SH-2,"Schön,M.",B GT 0017298,DB 13273,Dipsacales,Adoxaceae,Sambucus nigra,,
2455,"Appel,O.",B GT 0018061,DB 13449,Dipsacales,Adoxaceae,Sambucus nigra,,
36242,"Buttler,K.P.",B GT 0018596,DB 14058,Dipsacales,Adoxaceae,Sambucus nigra,,
2387,"Appel,O.",B GT 0017211,DB 13411,Dipsacales,Adoxaceae,Sambucus racemosa,,
KPB 35791,"Buttler,K.P. & Diguet,A.",B GT 0018143,DB 13983,Dipsacales,Adoxaceae,Sambucus racemosa,,
FJW-2016-0059,"Weicherding,F.-J.",B GT 0017826,DB 13247,Dipsacales,Adoxaceae,Viburnum lantana,,
KPB 36642,"Buttler,K.P. & Börger,U.",B GT 0018634,DB 14168,Dipsacales,Adoxaceae,Viburnum lantana,,
8695,"Hand,R.",B GT 0021027,DB 13811,Dipsacales,Adoxaceae,Viburnum lantana,,
AMB-GBOL2-113,A.-M. Barniske,B GT 0021870,DB 30927,Dipsacales,Adoxaceae,Viburnum opulus,,
36841,K. P. Buttler,B GT 0024939,DB 14765,Dipsacales,Adoxaceae,Viburnum opulus,,
8544,"Hand,R.",B GT 0018868,DB 13726,Dipsacales,Caprifoliaceae,Centranthus ruber,,
8806,"Hand,R.",B GT 0021138,DB 13870,Dipsacales,Caprifoliaceae,Centranthus ruber,,
8840,"Hand,R.",B GT 0021172,DB 13893,Dipsacales,Caprifoliaceae,Dipsacus laciniatus,,
PC 294,"Ciongwa,P.",B GT 0021439,DB 14418,Dipsacales,Caprifoliaceae,Dipsacus laciniatus,,
FJW-2017-0037,F.-J. Weicherding,B GT 0021660,DB 30776,Dipsacales,Caprifoliaceae,Dipsacus laciniatus,,
8833,R. Hand,B GT 0021165,DB 29397,Dipsacales,Caprifoliaceae,Dipsacus pilosus,,
36623,"Buttler,K.P.",B GT 0017782,DB 14163,Dipsacales,Caprifoliaceae,Knautia arvensis,,
PC 279,"Ciongwa,P.",B GT 0021425,DB 14411,Dipsacales,Caprifoliaceae,Knautia arvensis,,
MS-TH-20,"Schön,M.",B GT 0021573,DB 14540,Dipsacales,Caprifoliaceae,Knautia arvensis,,
36901,K. P. Buttler,B GT 0024921,DB 14777,Dipsacales,Caprifoliaceae,Knautia arvensis,,
,,B GT 0005036,DB 15078,Dipsacales,Caprifoliaceae,Knautia gracilis,,
20180945,G. Schepers,B GT 0024607,DB 15367,Dipsacales,Caprifoliaceae,Knautia maxima,,
7950,"Hand,R.",B GT 0014697,DB 13011,Dipsacales,Caprifoliaceae,Lonicera alpigena,,
RH 7978,"Hand,R., Berghofer,M. & Niederbichler,C.",B GT 0014712,DB 13037,Dipsacales,Caprifoliaceae,Lonicera caerulea,,
9166,"R. Hand 9166, R. Fritsch, S. Caspari & al.",B GT 0024763,DB 15137,Dipsacales,Caprifoliaceae,Lonicera henryi,,
8601,"Hand,R.",B GT 0018925,DB 13761,Dipsacales,Caprifoliaceae,Lonicera nigra,,
8727,R. Hand,B GT 0021059,DB 29361,Dipsacales,Caprifoliaceae,Lonicera nigra,,
20170525-63,"Höcker,R.",B GT 0021476,DB 14307,Dipsacales,Caprifoliaceae,Lonicera nigra,,
FJW-2016-0053,"Weicherding,F.-J.",B GT 0017832,DB 13242,Dipsacales,Caprifoliaceae,Lonicera periclymenum,,
36419,"Buttler,K.P.",B GT 0018648,DB 14085,Dipsacales,Caprifoliaceae,Lonicera periclymenum,,
PC 136,"Ciongwa,P.",B GT 0017501,DB 13153,Dipsacales,Caprifoliaceae,Lonicera xylosteum,,
36444,K. P. Buttler,B GT 0018371,DB 29415,Dipsacales,Caprifoliaceae,Lonicera xylosteum,,
WEM088,W. Melenk (GBOL-Bioblitz 2017),B GT 0021937,DB 15680,Dipsacales,Caprifoliaceae,Scabiosa canescens,,
RH 7822,"Hand,R. & Niederbichler,C.",B GT 0014827,DB 12902,Dipsacales,Caprifoliaceae,Scabiosa columbaria,,
2016-39,R. Mause,B GT 0017476,DB 15505,Dipsacales,Caprifoliaceae,Scabiosa columbaria,,
36627,K. P. Buttler,B GT 0017777,DB 14706,Dipsacales,Caprifoliaceae,Scabiosa columbaria,,
PC 280,"Ciongwa,P.",B GT 0021426,DB 14412,Dipsacales,Caprifoliaceae,Scabiosa columbaria,,
NHG-20170820-76,"Höcker,R.",B GT 0021529,DB 14496,Dipsacales,Caprifoliaceae,Scabiosa columbaria,,
2017-129,R. Mause,B GT 0021740,DB 15195,Dipsacales,Caprifoliaceae,Scabiosa columbaria,,
,,B GT 0024729,DB 15010,Dipsacales,Caprifoliaceae,Scabiosa columbaria,,
RH 7906,"Hand,R. & Niederbichler,C.",B GT 0014746,DB 12970,Dipsacales,Caprifoliaceae,Scabiosa lucida,,
CN_20170814_3,C. Niederbichler,B GT 0021888,DB 30956,Dipsacales,Caprifoliaceae,Scabiosa lucida,,
8031,"Hand,R.",B GT 0017811,DB 13085,Dipsacales,Caprifoliaceae,Scabiosa ochroleuca,,
WEM081,W. Melenk (GBOL-Bioblitz 2017),B GT 0021944,DB 30994,Dipsacales,Caprifoliaceae,Scabiosa ochroleuca,,
RH 7814,"Hand,R., Berghofer,M. & Niederbichler,C.",B GT 0014835,DB 12895,Dipsacales,Caprifoliaceae,Succisa pratensis,,
FJW-2016-0077,"Weicherding,F.-J.",B GT 0017630,DB 13265,Dipsacales,Caprifoliaceae,Succisa pratensis,,
36703,"Buttler,K.P.",B GT 0018488,DB 14199,Dipsacales,Caprifoliaceae,Succisa pratensis,,
NHG-20170903-85,"Höcker,R.",B GT 0021538,DB 14503,Dipsacales,Caprifoliaceae,Succisa pratensis,,
,,B GT 0024691,DB 15020,Dipsacales,Caprifoliaceae,Succisa pratensis,,
NM2017/14,N. Meyer,B GT 0021620,DB 29537,Dipsacales,Caprifoliaceae,Succisella inflexa,,
35664,"Buttler,K.P.",B GT 0018169,DB 13953,Dipsacales,Caprifoliaceae,Valeriana dioica,,
2013-22,"Mause,R.",B GT 0018268,DB 14230,Dipsacales,Caprifoliaceae,Valeriana dioica,,
,,B GT 0024791,DB 15026,Dipsacales,Caprifoliaceae,Valeriana dioica,,
2448,O. Appel,B GT 0018055,DB 14611,Dipsacales,Caprifoliaceae,Valeriana excelsa,,
RH 7901,"Hand,R. & Niederbichler,C.",B GT 0014732,DB 12965,Dipsacales,Caprifoliaceae,Valeriana montana,,
KPB 35659,"Buttler,K.P. & Diguet,A.",B GT 0018156,DB 13951,Dipsacales,Caprifoliaceae,Valeriana pratensis,,
8382,"Hand,R.",B GT 0018705,DB 13626,Dipsacales,Caprifoliaceae,Valeriana pratensis,,
8467,R. Hand,B GT 0018791,DB 15236,Dipsacales,Caprifoliaceae,Valeriana pratensis,,
8479,R. Hand,B GT 0018803,DB 15238,Dipsacales,Caprifoliaceae,Valeriana pratensis,,
20180239,G. Schepers,B GT 0024585,DB 15318,Dipsacales,Caprifoliaceae,Valeriana pratensis,,
RH 7910,"Hand,R. & Niederbichler,C.",B GT 0014750,DB 12974,Dipsacales,Caprifoliaceae,Valeriana saxatilis,,
RH 7893,"Hand,R. & Niederbichler,C.",B GT 0014739,DB 12958,Dipsacales,Caprifoliaceae,Valeriana supina,,
8630,"Hand,R.",B GT 0018954,DB 13774,Dipsacales,Caprifoliaceae,Valeriana tripteris,,
5MB,"Berghofer,M.",B GT 0021329,DB 14313,Dipsacales,Caprifoliaceae,Valeriana tripteris,,
2016-19,"Mause,R.",B GT 0017401,DB 13518,Dipsacales,Caprifoliaceae,Valerianella carinata,,
7337,R. Hand,B GT 0017575,DB 15426,Dipsacales,Caprifoliaceae,Valerianella carinata,Gewebe fehlt; Tüte Aufsammlung nicht vorhanden,
FJW-2016-0034,"Weicherding,F.-J.",B GT 0017865,DB 13224,Dipsacales,Caprifoliaceae,Valerianella carinata,,
36352,"Buttler,K.P.",B GT 0018601,DB 14070,Dipsacales,Caprifoliaceae,Valerianella carinata,,
2017-52,R. Mause,B GT 0021794,DB 15182,Dipsacales,Caprifoliaceae,Valerianella carinata,,
PC 159,"Ciongwa,P.",B GT 0017511,DB 14554,Dipsacales,Caprifoliaceae,Valerianella dentata,,
8421,"Hand,R.",B GT 0018745,DB 13652,Dipsacales,Caprifoliaceae,Valerianella dentata,,
2016-27,"Mause,R.",B GT 0017488,DB 13526,Dipsacales,Caprifoliaceae,Valerianella locusta,,
2380,"Appel,O.",B GT 0017495,DB 13406,Dipsacales,Caprifoliaceae,Valerianella locusta,,
PC 158,"Ciongwa,P.",B GT 0017507,DB 13172,Dipsacales,Caprifoliaceae,Valerianella locusta,,
FJW-2016-0030,"Weicherding,F.-J.",B GT 0017869,DB 13220,Dipsacales,Caprifoliaceae,Valerianella locusta,,
36357,"Buttler,K.P.",B GT 0018606,DB 14074,Dipsacales,Caprifoliaceae,Valerianella locusta,,
2682,O. Appel,B GT 0024139,DB 15838,Dipsacales,Caprifoliaceae,Valerianella locusta,,
GBOL-028,G. Himpel,B GT 0024471,DB 15577,Dipsacales,Caprifoliaceae,Valerianella rimosa,,
35673,"Buttler,K.P.",B GT 0018161,DB 13956,Dipsacales,Dipsacaceae,Dipsacus strigosus,,
